iter	RMSE
0	11.72698932
1	11.55400581
2	11.34377752
3	11.14006236
4	10.94692323
5	10.76226362
6	10.58621011
7	10.41635191
8	10.2516526
9	10.09401423
10	9.938541637
11	9.803411533
12	9.66732788
13	9.532303322
14	9.407126982
15	9.286387027
16	9.174890993
17	9.069400393
18	8.966384575
19	8.87038247
20	8.778710744
21	8.688495862
22	8.608941653
23	8.533272115
24	8.454316289
25	8.381011148
26	8.312829651
27	8.22765414
28	8.134494859
29	8.056584146
30	7.96539373
31	7.88892881
32	7.810026296
33	7.731281978
34	7.670285195
35	7.605141928
36	7.546796781
37	7.470691279
38	7.398200609
39	7.329866519
40	7.268701938
41	7.203779176
42	7.139684461
43	7.085937661
44	7.029867215
45	6.978430292
46	6.934906609
47	6.89265621
48	6.845231992
49	6.807785095
50	6.764468446
51	6.731552485
52	6.691966513
53	6.651287133
54	6.618330403
55	6.581678776
56	6.548926547
57	6.519483564
58	6.48903727
59	6.458961713
60	6.430883746
61	6.405749886
62	6.381749761
63	6.357949459
64	6.337430163
65	6.313210635
66	6.291859565
67	6.27361498
68	6.257412347
69	6.241350749
70	6.219758284
71	6.205055116
72	6.189095534
73	6.175319552
74	6.164789106
75	6.155849163
76	6.144047387
77	6.132729722
78	6.122512622
79	6.112031758
80	6.101833114
81	6.091497263
82	6.079211014
83	6.072110232
84	6.066332815
85	6.060360714
86	6.050795981
87	6.048531073
88	6.046886902
89	6.03954661
90	6.029683382
91	6.020614209
92	6.019317461
93	6.010959388
94	6.005302305
95	6.004214768
96	5.998797328
97	5.993111065
98	5.986702189
99	5.981849083
100	5.97708702
101	5.970942781
102	5.966763334
103	5.960270467
104	5.954628028
105	5.9508818
106	5.948231739
107	5.943600942
108	5.940216125
109	5.937592352
110	5.934046378
111	5.930558753
112	5.929285393
113	5.923093487
114	5.920804326
115	5.915750359
116	5.912645173
117	5.908242752
118	5.902979323
119	5.901494317
120	5.899543292
121	5.896261051
122	5.893679188
123	5.890147815
124	5.889040402
125	5.886716695
126	5.884746935
127	5.882810542
128	5.880299212
129	5.87858161
130	5.877536626
131	5.875052031
132	5.872822878
133	5.868873875
134	5.865503759
135	5.862067915
136	5.861973186
137	5.859839207
138	5.85759397
139	5.856600623
140	5.85554466
141	5.854063367
142	5.852968637
143	5.850987139
144	5.848684491
145	5.848079699
146	5.846877646
147	5.845146893
148	5.843522059
149	5.841267985
150	5.840963728
151	5.84056637
152	5.837201957
153	5.836355103
154	5.835954434
155	5.83590776
156	5.833834161
157	5.831882745
158	5.829434449
159	5.827570336
160	5.827533368
161	5.824265742
162	5.822993753
163	5.82185425
164	5.821836476
165	5.821439494
166	5.820749678
167	5.820733528
168	5.81822909
169	5.817092449
170	5.816898218
171	5.815888044
172	5.81357659
173	5.813028519
174	5.811848002
175	5.81030037
176	5.809567557
177	5.808502599
178	5.806596198
179	5.805905227
180	5.805721609
181	5.805707505
182	5.805215885
183	5.804272551
184	5.802974157
185	5.802473819
186	5.802468919
187	5.802463025
188	5.802283949
189	5.802268895
190	5.802052772
191	5.801362313
192	5.799855127
193	5.798101352
194	5.797207162
195	5.796525383
196	5.796522736
197	5.796520245
198	5.795584573
199	5.795573896
200	5.795571826
201	5.795569178
202	5.795567345
203	5.795565621
204	5.79430898
205	5.794293608
206	5.794292165
207	5.794223559
208	5.793889869
209	5.79387861
210	5.793877467
211	5.793876391
212	5.792670533
213	5.792669579
214	5.790677635
215	5.789442581
216	5.78673134
217	5.786729952
218	5.786554515
219	5.784756987
220	5.784183252
221	5.784182629
222	5.78288445
223	5.782790087
224	5.782417704
225	5.782417225
226	5.781396341
227	5.781107204
228	5.781096504
229	5.781096122
230	5.781095762
231	5.781076033
232	5.781075712
233	5.781057154
234	5.779742346
235	5.779742062
236	5.779650011
237	5.778663534
238	5.778103214
239	5.77685288
240	5.77685268
241	5.776850093
242	5.774623721
243	5.772690241
244	5.771653844
245	5.771546557
246	5.771334051
247	5.770794275
248	5.770793937
249	5.769219513
250	5.767635638
251	5.766620732
252	5.766056848
253	5.766056753
254	5.765993832
255	5.765667794
256	5.76554809
257	5.765107947
258	5.76419807
259	5.764192781
260	5.762947731
261	5.762947673
262	5.762947619
263	5.76294713
264	5.762947082
265	5.762947037
266	5.762357887
267	5.762357413
268	5.762357378
269	5.762118561
270	5.760672903
271	5.760412627
272	5.760403985
273	5.759553642
274	5.759358037
275	5.759242457
276	5.759241983
277	5.759241911
278	5.75833571
279	5.75787719
280	5.757105846
281	5.757105827
282	5.756017234
283	5.75601696
284	5.753762103
285	5.75350766
286	5.753507647
287	5.753025384
288	5.751931257
289	5.751299859
290	5.749644318
291	5.749644243
292	5.749643948
293	5.749643934
294	5.74874745
295	5.748433951
296	5.748433939
297	5.748433928
298	5.747409033
299	5.747024229
300	5.745903699
301	5.745903691
302	5.744632519
303	5.744049286
304	5.742123969
305	5.740937352
306	5.740591703
307	5.740591698
308	5.740355343
309	5.740172072
310	5.738977861
311	5.738594652
312	5.73755314
313	5.735779283
314	5.735779278
315	5.735779274
316	5.735778728
317	5.734642946
318	5.734314145
319	5.73431414
320	5.734314136
321	5.734187559
322	5.733309236
323	5.73252585
324	5.732345707
325	5.731437841
326	5.729217669
327	5.729217667
328	5.727858032
329	5.72779116
330	5.72679682
331	5.725672184
332	5.724608917
333	5.724606785
334	5.723870171
335	5.723522085
336	5.723384922
337	5.720905963
338	5.720506749
339	5.720506704
340	5.720391716
341	5.720391715
342	5.719122455
343	5.7186468
344	5.718058775
345	5.717003472
346	5.717003471
347	5.715768303
348	5.715567667
349	5.715187944
350	5.714091624
351	5.712908412
352	5.712092303
353	5.711502849
354	5.710346156
355	5.709381178
356	5.709262381
357	5.70926107
358	5.708259292
359	5.708248922
360	5.707959929
361	5.705864929
362	5.70464184
363	5.704641835
364	5.704171714
365	5.704171709
366	5.702816819
367	5.702025228
368	5.702025223
369	5.701906865
370	5.701904774
371	5.699938208
372	5.698571762
373	5.697272511
374	5.695475191
375	5.695475185
376	5.694847265
377	5.694132902
378	5.693546654
379	5.693234304
380	5.693234301
381	5.69323422
382	5.692692425
383	5.690694586
384	5.690694584
385	5.690641303
386	5.689975137
387	5.689432028
388	5.689432027
389	5.68931065
390	5.688690154
391	5.687773268
392	5.687311439
393	5.686145189
394	5.685489697
395	5.685398585
396	5.68536993
397	5.684719947
398	5.684714975
399	5.683609477
400	5.683143445
401	5.682628252
402	5.682628249
403	5.682628246
404	5.682542384
405	5.681475746
406	5.681475744
407	5.681093115
408	5.681093113
409	5.681089669
410	5.681089667
411	5.680821012
412	5.67993117
413	5.679852418
414	5.679435996
415	5.678653171
416	5.678522344
417	5.678521147
418	5.678516297
419	5.677132679
420	5.676309483
421	5.676263358
422	5.676258933
423	5.676258933
424	5.67574854
425	5.675207232
426	5.675207231
427	5.67404026
428	5.673089603
429	5.672957693
430	5.671910872
431	5.671910872
432	5.671450085
433	5.670973337
434	5.670822879
435	5.670295681
436	5.670295681
437	5.66906579
438	5.66813068
439	5.66813068
440	5.667692731
441	5.667304962
442	5.667293852
443	5.667221689
444	5.666601203
445	5.666601203
446	5.666601203
447	5.666286751
448	5.665762855
449	5.665640356
450	5.665527064
451	5.663825203
452	5.663442037
453	5.663222302
454	5.6632223
455	5.663189626
456	5.662254249
457	5.661721669
458	5.661685082
459	5.661676969
460	5.661293167
461	5.661293166
462	5.660237119
463	5.659952138
464	5.659085546
465	5.658985816
466	5.658981298
467	5.658406676
468	5.65840617
469	5.657522304
470	5.657455787
471	5.6568401
472	5.656349575
473	5.656111154
474	5.656111154
475	5.656084536
476	5.655836172
477	5.655830546
478	5.655830546
479	5.655830545
480	5.655830545
481	5.655600259
482	5.655599844
483	5.655318804
484	5.655309824
485	5.655300295
