iter	Passed	Remaining
0	37	37621
1	57	28611
2	108	35942
3	145	36312
4	179	35701
5	215	35691
6	238	33777
7	285	35381
8	333	36724
9	352	34861
10	388	34957
11	425	35047
12	453	34440
13	515	36327
14	542	35650
15	569	35049
16	610	35301
17	650	35489
18	696	35953
19	733	35950
20	752	35068
21	812	36127
22	860	36539
23	911	37078
24	962	37552
25	1044	39144
26	1102	39723
27	1162	40346
28	1209	40495
29	1256	40617
30	1307	40884
31	1352	40911
32	1396	40926
33	1435	40788
34	1483	40889
35	1534	41081
36	1583	41216
37	1613	40839
38	1654	40760
39	1697	40739
40	1745	40821
41	1782	40656
42	1807	40219
43	1831	39784
44	1878	39876
45	1919	39804
46	1955	39642
47	1992	39516
48	2039	39573
49	2086	39652
50	2136	39746
51	2191	39951
52	2229	39845
53	2287	40065
54	2330	40037
55	2394	40359
56	2446	40469
57	2506	40704
58	2542	40558
59	2580	40425
60	2633	40542
61	2673	40451
62	2707	40275
63	2742	40114
64	2789	40122
65	2825	39990
66	2877	40070
67	2915	39961
68	2969	40072
69	3001	39871
70	3043	39821
71	3067	39533
72	3118	39600
73	3159	39532
74	3195	39407
75	3251	39530
76	3308	39653
77	3348	39584
78	3394	39574
79	3434	39496
80	3471	39386
81	3522	39439
82	3570	39442
83	3607	39336
84	3646	39254
85	3685	39166
86	3722	39069
87	3769	39065
88	3817	39070
89	3862	39052
90	3911	39073
91	3948	38966
92	3998	38992
93	4049	39030
94	4089	38954
95	4126	38855
96	4155	38682
97	4191	38582
98	4248	38664
99	4297	38677
100	4337	38610
101	4374	38510
102	4423	38523
103	4435	38213
104	4482	38206
105	4521	38132
106	4537	37864
107	4578	37818
108	4618	37755
109	4659	37695
110	4673	37430
111	4714	37375
112	4760	37366
113	4796	37275
114	4836	37220
115	4892	37286
116	4936	37258
117	4971	37160
118	5013	37117
119	5066	37152
120	5129	37264
121	5168	37198
122	5215	37184
123	5271	37240
124	5302	37117
125	5352	37128
126	5365	36881
127	5398	36774
128	5444	36761
129	5480	36680
130	5525	36655
131	5574	36654
132	5624	36662
133	5665	36614
134	5723	36674
135	5765	36627
136	5809	36594
137	5861	36610
138	5910	36608
139	5952	36564
140	5995	36528
141	6053	36574
142	6096	36537
143	6137	36485
144	6149	36260
145	6198	36258
146	6244	36232
147	6287	36195
148	6325	36128
149	6370	36101
150	6414	36067
151	6454	36009
152	6511	36044
153	6568	36084
154	6623	36109
155	6653	35994
156	6690	35922
157	6738	35910
158	6790	35918
159	6857	36003
160	6903	35974
161	6944	35921
162	7004	35969
163	7065	36016
164	7117	36020
165	7155	35950
166	7204	35935
167	7266	35987
168	7322	36004
169	7371	35992
170	7422	35982
171	7490	36056
172	7518	35939
173	7577	35970
174	7621	35928
175	7647	35802
176	7675	35687
177	7693	35527
178	7712	35375
179	7770	35398
180	7850	35523
181	7919	35592
182	7951	35500
183	8004	35498
184	8071	35559
185	8125	35559
186	8182	35576
187	8251	35639
188	8315	35681
189	8381	35731
190	8429	35704
191	8475	35667
192	8530	35669
193	8594	35708
194	8648	35704
195	8684	35623
196	8733	35600
197	8778	35558
198	8824	35518
199	8877	35511
200	8930	35497
201	8950	35358
202	8992	35305
203	9036	35258
204	9085	35233
205	9136	35215
206	9191	35210
207	9239	35179
208	9261	35050
209	9305	35005
210	9343	34939
211	9386	34890
212	9422	34813
213	9477	34811
214	9522	34766
215	9537	34619
216	9584	34585
217	9635	34563
218	9689	34554
219	9717	34452
220	9760	34406
221	9808	34372
222	9870	34391
223	9918	34360
224	9929	34202
225	9969	34144
226	10013	34100
227	10063	34072
228	10108	34032
229	10147	33973
230	10188	33919
231	10251	33937
232	10272	33814
233	10325	33800
234	10365	33741
235	10408	33694
236	10458	33670
237	10500	33618
